Year,Ward,Dwellings,Residents,Vehicles,Age 65 +,Voters,CENSUS_YEAR
1958,,64288,206831,,,,1958
1959,,,218418,,,121813,1959
1960,,72987,235428,,,,1960
1961,1,,38462,11455,,21784,1961
1961,2,,35935,10201,,19782,1961
1961,3,,40917,11326,,20186,1961
1961,4,,40838,11050,,25441,1961
1961,5,,41354,9412,,22733,1961
1961,6,,44167,13358,,22307,1961
1962,1,12808,42422,,,,1962
1962,2,10892,37175,,,,1962
1962,3,11196,42564,,,,1962
1962,4,15906,40321,,,,1962
1962,5,17040,55707,,,,1962
1962,6,13768,50879,,,,1962
1963,1,,44860,,,24636,1963
1963,2,,38183,,,20837,1963
1963,3,,44067,,,21663,1963
1963,4,,38662,,,25097,1963
1963,5,,56804,,,29854,1963
1963,6,,54399,,,26805,1963
1964,1,16127,52872,16514,,,1964
1964,2,11987,39799,12139,,,1964
1964,3,12438,46192,13815,,,1964
1964,4,18522,40189,12142,,,1964
1964,5,19348,57396,14496,,,1964
1964,6,15508,58476,18425,,,1964
1965,1,16931,55580,,,,1965
1965,2,12217,40330,,,,1965
1965,3,15032,56259,,,,1965
1965,4,18636,40851,,,,1965
1965,5,19430,57856,,,,1965
1965,6,15921,60240,,,,1965
1966,1,17716,58670,,,,1966
1966,2,12510,41792,,,,1966
1966,3,15416,57591,,,,1966
1966,4,18680,41481,,,,1966
1966,5,19795,59237,,,,1966
1966,6,17064,64518,,,,1966
1967,1,18253,61402,,,,1967
1967,2,12765,42662,,,,1967
1967,3,15762,59406,,,,1967
1967,4,19102,42551,,,,1967
1967,5,19867,61213,,,,1967
1967,6,17966,68572,,,,1967
1968,1,19036,66082,,4019,,1968
1968,2,13425,44918,,2368,,1968
1968,3,16226,61972,,2604,,1968
1968,4,19884,44471,,5043,,1968
1968,5,20248,63426,,4892,,1968
1968,6,19146,73987,,2541,,1968
1969,1,15321,58501,,,,1969
1969,2,20188,65098,,,,1969
1969,3,18698,69806,,,,1969
1969,4,27380,65158,,,,1969
1969,5,18020,59264,,,,1969
1969,6,13040,51198,,,,1969
1970,1,16377,61582,,,,1970
1970,2,21977,69000,,,,1970
1970,3,18945,69401,,,,1970
1970,4,29058,66359,,,,1970
